FUENTE DE CONTACTO A MEP;IDEA DE NEGOCIO / TIPO DE NEGOCIO DEL PC;CIUDAD;Toma de servicio
Wufoo Página;Granja de Aves;Lima;Si
Wufoo Consultorio;Ferretería;Lima;Si
Whatsapp;Granja de Aves;Lima;Si
Wufoo Contacto;Ferretería;Lima;Si
Wufoo Contacto ;Bodega / Minimarket;Trujillo;No
Wufoo Consultorio;Lavado de autos;Lima;Si
Wufoo Consultorio;Fuente de soda;Lima;Si
Wufoo Consultorio;Venta de plantas y suculentad;Lima;Si
Wufoo Contacto;Ferretería;Lima;Si
Wufoo Contacto;Venta de ropa importada;Lima;Si
Wufoo Curso;Juguería;Cusco;No
wufoo consultorio;Joyería;Lima;Si
facebook;Restaurante;Lima;Si
Wufoo Contacto;Restaurante;La Libertad;No
Wufoo Consultorio;Restaurante;Lima;Si
Wufoo;Libreria;Lima;Si
Wufoo;Catering;Lima;No
Wufoo;Fabricación de productos de limpieza;Lima;No
Wufoo formulario ;"	
Préstamos de dinero";Lima;No
Teléfono fijo;gestión de crianza de cerdos;Lima;No
Wufoo post;El giro de negocio es de servicios de instalación de camaras de vigilancia;Lima;No
Wufoo formulario;Inicialmente venta de tecnología, orientada al entretenimiento, por internet.;Lima;No
Wufoo post;Botica;Lima;No
Wufoo consultorio;Botica;Callao;No
Wufoo consultorio;Importación y Exportación;Lima;Si
Celular #1;"Taller de Costura
tienda de venta";Lima;Si
Wufoo consultorio;Lavandería;Lima;Si
Wufoo formulario;Botica;Lima;Si
Celular #1;Exportación de cuyes;Puno;Si
WhatsApp #3;Importación de productos de la india;Lima;Si
WhatsApp #3;Importación de motores (máquinas de jardinería, autos) varios;Lima;Si
Wufoo formulario;CRIANZA DE ANIMALES;Lima;Si
Wufoo post;Tengo sa?on de belleza;Lima;Si
Wufoo post;Servicios Generales;Lima;Si
Wufoo post;Lavandería;Lima;Si
Wufoo formulario;Ferretería / ideas de negocio;Lima;Si
Wufoo Formulario;empresa de servicios generales;Lima;Si
WhatsApp #2;Importación;Lima;Si
WhatsApp #4;Empresa Textil;Lima;Si
WhatsApp #3;Botica;Lima;Si
WhatsApp #3;Salón de belleza;Lima;Si
Wufoo consultorio;Cremolada;Lima;Si
Wufoo consultorio;Minimarket;Lima;Si
Wufoo formulario ;Minimarket;Lima;Si
Wufoo consultorio;crear una escuela de capacitación;Lima;Si
Wufoo post;Una barberia .la ubicacion del negocio;Lima;Si
Wufoo consultorio;Recien iniciare un negocio estoy enfocada en ferretería por que mis padres tenian y se el manejo;Lima;Si
Wufoo Post;Venta de gas;Lima;Si
Wufoo post;Salón de belleza y spa;Lima;Si
Wufoo post;Pollos a la brasa;Lima;Si
Wufoo Post;Capacitaciones;Lima;Si
Wufoo Formulario;Restaurante;Lima;Si
Wufoo Incubadora;Empresa de Préstamo de dinero;Lima;Si
Wufoo Formulario;Centro de Capacitación Técnica;Lima;Si
Wufoo Consultorio;Venta de gas;Lima;Si
