FuenteDeContactoAMEP,IdeaDeNegocio,Cuidad,TomaDeServicio
Wufoo-Pagina,Granja-de-Aves,Lima,Si
Wufoo-Consultorio,Ferreteria,Lima,Si
Wufoo-Consultorio,Granja-de-Aves,Lima,Si
Wufoo-Consultorio,Ferreteria,Lima,Si
Wufoo-Curso,Bodega/Minimarket,Trujillo,No
Wufoo-Contacto,Lavado-de-autos,Lima,Si
Wufoo-Contacto,Fuente-de-soda,Lima,Si
Wufoo-Contacto,Venta-de-plantas-y-suculentad,Lima,Si
Wufoo-Contacto,Ferreteria,Lima,Si
Wufoo-Contacto,Venta-de-ropa-importada,Lima,Si
Wufoo-Curso,Jugueria,Cusco,No
Wufoo-Consultorio,Joyeria,Lima,Si
Wufoo-Consultorio,Restaurante,Lima,Si
Wufoo-Curso,Restaurante,Trujillo,No
Wufoo-Consultorio,Restaurante,Lima,Si
Wufoo-Consultorio,Libreria,Lima,Si
Wufoo-Curso,Catering,Lima,No
Wufoo-Curso,Fabricacion-de-productos-de-limpieza,Lima,No
Wufoo-Curso,Prestamos-de-dinero,Lima,No
Wufoo-Curso,gestion-de-crianza-de-cerdos,Lima,No
Wufoo-Curso,El-giro-de-negocio-es-de-servicios-de-instalacion-de-camaras-de-vigilancia,Lima,No
Wufoo-Curso,Inicialmente-venta-de-tecnologia,Lima,No
Wufoo-Curso,Botica,Lima,No
Wufoo-Curso,Botica,Callao,No
Wufoo-Pagina,Importacion-y-Exportacion,Lima,Si
Wufoo-Pagina,Taller-de-Costura,Lima,Si
Wufoo-Pagina,tienda-de-venta,Lima,Si
Wufoo-Pagina,Lavanderia,Lima,Si
Wufoo-Pagina,Botica,Puno,Si
Wufoo-Pagina,Exportacion-de-cuyes,Lima,Si
Wufoo-Pagina,Importacion-de-productos-de-la-india,Lima,Si
Wufoo-Pagina,Importacion-de-motores,Lima,Si
Wufoo-Pagina,CRIANZA-DE-ANIMALES,Lima,Si
Wufoo-Pagina,Tengo-salon-de-belleza,Lima,Si
Wufoo-Pagina,Servicios-Generales,Lima,Si
Wufoo-Pagina,Lavanderia,Lima,Si
Wufoo-Pagina,Ferreteria-/-ideas-de-negocio,Lima,Si
Wufoo-Pagina,empresa-de-servicios-generales,Lima,Si
Wufoo-Pagina,Importacion,Lima,Si
Wufoo-Pagina,Empresa-Textil,Lima,Si
Wufoo-Pagina,Botica,Lima,Si
Wufoo-post,Salon-de-belleza,Lima,No
Wufoo-post,Cremolada,Lima,No
Wufoo-post,Minimarket,Lima,No
Wufoo-post,Minimarket,Lima,No
Wufoo-post,Escuela-de-capacitacion,Lima,No
Wufoo-post,Una-barberia,Lima,No
Wufoo-post,Venta-de-gas,Lima,No
Wufoo-Consultorio,Venta-de-gas,Lima,Si
Wufoo-Consultorio,Salon-de-belleza-y-spa,Lima,Si
Wufoo-Consultorio,Pollos-a-la-brasa,Lima,Si
Wufoo-Consultorio,Capacitaciones,Lima,Si
Wufoo-Consultorio,Restaurante,Lima,Si
Wufoo-Consultorio,Empresa-de-Prestamo-de-dinero,Lima,Si
Wufoo-Consultorio,Centro-de-Capacitacion-Tecnica,Lima,Si
